Group Op Report
Name,Num Calls Aggregated,Num TC Eligible Ops,Num Ops Using TC,Total CPU Time (ns),Avg. CPU Time (ns),Min CPU Time (ns),Max CPU Time (ns),Total GPU Time (ns),Avg. GPU Time (ns),Min GPU Time (ns),Max GPU Time (ns),Total CPU Overhead (ns),Avg. CPU Overhead (ns),Min CPU Overhead (ns),Max CPU Overhead (ns),Total GPU Idle (ns),Avg. GPU Idle (ns),Min GPU Idle (ns),Max GPU Idle (ns)
"/module/run/loss_fn_wrap/MSELoss::_wrapped_call_impl/",22,0,0,4294488,390408.0,371024,410275,120482,10952.9,10656,11137,3828045,348004.1,332214,363995,559135,50830.5,46015,57600
"/module/run/loss_fn_wrap/MSELoss::_wrapped_call_impl/MSELoss::_call_impl/",22,0,0,4294488,390408.0,371024,410275,120482,10952.9,10656,11137,3828045,348004.1,332214,363995,559135,50830.5,46015,57600
"/module/run/loss_fn_wrap/MSELoss::_wrapped_call_impl/MSELoss::_call_impl/MSELoss::forward/",22,0,0,4294488,390408.0,371024,410275,120482,10952.9,10656,11137,3828045,348004.1,332214,363995,559135,50830.5,46015,57600
"/module/run/unpack_batch[2]/",11,0,0,283193,25744.8,21630,31590,0,0.0,0,0,283193,25744.8,21630,31590,0,0.0,0,0
"/module/run/wrapper/",88,0,0,5792758,526614.4,492406,560367,8403968,763997.1,758560,771584,4830412,439128.4,413676,464366,0,0.0,0,0
"/module/run/wrapper/SGD::wrapper/",88,0,0,5792758,526614.4,492406,560367,8403968,763997.1,758560,771584,4830412,439128.4,413676,464366,0,0.0,0,0
"/module/run/wrapper/SGD::wrapper/SGD::_use_grad/",88,0,0,5792758,526614.4,492406,560367,8403968,763997.1,758560,771584,4830412,439128.4,413676,464366,0,0.0,0,0
"/module/run/wrapper/SGD::wrapper/SGD::_use_grad/SGD::step/",88,0,0,5792758,526614.4,492406,560367,8403968,763997.1,758560,771584,4830412,439128.4,413676,464366,0,0.0,0,0
"/module/run/wrapper/SGD::wrapper/SGD::_use_grad/SGD::step/sgd/",88,0,0,5792758,526614.4,492406,560367,8403968,763997.1,758560,771584,4830412,439128.4,413676,464366,0,0.0,0,0
"/module/run/wrapper/SGD::wrapper/SGD::_use_grad/SGD::step/sgd/_multi_tensor_sgd/",88,0,0,5792758,526614.4,492406,560367,8403968,763997.1,758560,771584,4830412,439128.4,413676,464366,0,0.0,0,0
"_CompleteModel_",1089,14,11,5505475725,500497793.2,497014615,509403227,42247050,3840640.9,3812675,3940253,5479044745,498094976.8,494650524,506481235,21254975,1932270.5,1800896,2007969
